path,fname,label,width,height,bytes,md5,dup_group
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/1.jpg,1.jpg,batik-bali,1280,960,622552,a6cc4a5cd44bff4a10a04c7dc8782154,0
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/10.jpg,10.jpg,batik-bali,246,320,59538,6c488babe374cec32fbb46146aabe399,1
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/11.jpg,11.jpg,batik-bali,1702,1702,882701,225226f57d1c8765c106eca8e7753682,2
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/12.jpg,12.jpg,batik-bali,3000,4000,3656327,259fa88070db61b1cf46ccce9dbba686,3
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/13.jpg,13.jpg,batik-bali,1000,1000,240394,939b60bd071c2a3944572718311792db,4
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/14.jpg,14.jpg,batik-bali,1280,960,276680,b0c5ff49deccff28dd75a0adcd32d81a,5
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/15.jpg,15.jpg,batik-bali,953,1300,444898,3bec6ff115dabe43b329ada6952c4192,6
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/16.jpg,16.jpg,batik-bali,632,457,114629,0c80e2ee447e041297837a1bcaba311f,7
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/17.jpg,17.jpg,batik-bali,442,274,322727,70ab994ee06f552de06886db46b10733,8
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/18.jpg,18.jpg,batik-bali,750,430,104755,22c2f4dcfaf21717516ba5d8c0bc24a8,9
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/19.jpg,19.jpg,batik-bali,800,531,102516,54ab38d220b79f673e66d3a0279d821d,10
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/2.jpg,2.jpg,batik-bali,1365,1365,459920,96b78359bd74ff51fd6a20cbfef456b3,11
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/20.jpg,20.jpg,batik-bali,957,1300,353527,b57a2dcd07f3b4e305a8ed5e4ff10591,12
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/21.jpg,21.jpg,batik-bali,1400,787,208259,46ad0474504e25ae7c2611c1c1a28c34,13
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/22.jpg,22.jpg,batik-bali,2996,1970,869337,e6dcf614cc7bf5b0cd46396b333521b5,14
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/23.jpg,23.jpg,batik-bali,1600,878,365194,7ce4288182f02c8695826befd79bcf63,15
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/24.jpg,24.jpg,batik-bali,269,320,58232,9eefd96790253e8d86fe1db48730654a,16
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/25.jpg,25.jpg,batik-bali,600,400,401564,37330b7af33f231ce8363657c8a62a9b,17
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/26.jpg,26.jpg,batik-bali,1504,1000,966869,3c711ade824ae9257477cbf76d2f1f9d,18
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/27.jpg,27.jpg,batik-bali,1776,1772,642225,a881a135d5a06a398de4cfcc93837466,19
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/28.jpg,28.jpg,batik-bali,1600,1200,770515,1b8ac3c9c4ba4d2a26c27004335d6f9f,20
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/29.jpg,29.jpg,batik-bali,550,550,263303,469ec30e949b0a391d80c90bcaffdcc9,21
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/3.jpg,3.jpg,batik-bali,693,379,104508,4f6ae1a63d02b9c7c97a5df88e0ad1fb,22
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/30.jpg,30.jpg,batik-bali,801,1200,336503,a990eca5e3a1b24f8b743c45ab3206bb,23
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/31.jpg,31.jpg,batik-bali,1200,1478,382198,bbbc6d73180873f734288e613f10cc88,24
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/32.jpg,32.jpg,batik-bali,998,1000,228910,1fd56afd30092a1489ee019d5d2bb4a8,25
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/33.jpg,33.jpg,batik-bali,672,345,56695,95375455e65d099b2c6f1d2cec6f2ff4,26
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/34.jpg,34.jpg,batik-bali,320,266,36120,111028243039154161a33bcc355138ba,27
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/35.jpg,35.jpg,batik-bali,1300,957,371372,227468c86bf12a016e6b7f5975665d4e,28
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/36.jpg,36.jpg,batik-bali,1920,1080,1200546,1254c225f852667eb034ace6fa2cf9b7,29
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/37.jpg,37.jpg,batik-bali,626,626,276652,274d1c0350a69d2d17adee870f07e3b1,30
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/38.jpg,38.jpg,batik-bali,3664,2748,2035668,448b229ff4acb6614cb36e404dc2f173,31
