path,fname,label,dup_group,seed,split
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/1.jpg,1.jpg,batik-bali,0,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/10.jpg,10.jpg,batik-bali,1,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/11.jpg,11.jpg,batik-bali,2,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/12.jpg,12.jpg,batik-bali,3,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/13.jpg,13.jpg,batik-bali,4,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/14.jpg,14.jpg,batik-bali,5,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/15.jpg,15.jpg,batik-bali,6,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/16.jpg,16.jpg,batik-bali,7,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/17.jpg,17.jpg,batik-bali,8,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/18.jpg,18.jpg,batik-bali,9,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/19.jpg,19.jpg,batik-bali,10,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/2.jpg,2.jpg,batik-bali,11,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/20.jpg,20.jpg,batik-bali,12,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/21.jpg,21.jpg,batik-bali,13,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/22.jpg,22.jpg,batik-bali,14,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/23.jpg,23.jpg,batik-bali,15,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/24.jpg,24.jpg,batik-bali,16,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/25.jpg,25.jpg,batik-bali,17,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/26.jpg,26.jpg,batik-bali,18,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/27.jpg,27.jpg,batik-bali,19,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/28.jpg,28.jpg,batik-bali,20,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/29.jpg,29.jpg,batik-bali,21,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/3.jpg,3.jpg,batik-bali,22,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/30.jpg,30.jpg,batik-bali,23,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/31.jpg,31.jpg,batik-bali,24,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/32.jpg,32.jpg,batik-bali,25,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/33.jpg,33.jpg,batik-bali,26,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/34.jpg,34.jpg,batik-bali,27,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/35.jpg,35.jpg,batik-bali,28,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/36.jpg,36.jpg,batik-bali,29,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/37.jpg,37.jpg,batik-bali,30,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/38.jpg,38.jpg,batik-bali,31,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/39.jpg,39.jpg,batik-bali,32,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/4.jpg,4.jpg,batik-bali,33,0,test
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/40.jpg,40.jpg,batik-bali,34,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/41.jpg,41.jpg,batik-bali,35,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/42.jpg,42.jpg,batik-bali,36,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/43.jpg,43.jpg,batik-bali,37,0,train
/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/44.jpg,44.jpg,batik-bali,38,0,train
